HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.content,Answer.ParaphraseQuestionBox,Approve,Reject
3G5RUKN2EC3WJEPJI5X5SDYMW0IN9R,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,39L1G8WVWQRADPR8MC3YSDEF3B0313,ACSD7WM4WKFPP,Approved,Fri Feb 26 11:55:21 PST 2016,Fri Feb 26 11:55:42 PST 2016,Sat Feb 27 11:55:42 PST 2016,Fri Feb 26 14:51:07 PST 2016,,,21,100% (2/2),100% (2/2),100% (2/2),Love_the_Way_You_Lie-Recording,"<font color=""blue"">Question</font>: Where were the vocals for Eminem's ""Love the Way You Lie"" recorded?<br/><font color=""blue"">Sentence(s)</font>: Mike Strange recorded and mixed Eminem's vocals at Effigy Studios in Ferndale, Michigan.","Where did Eminem record ""Love the way you lie""?",,
3ULIZ0H1VA5A4KGIASMQJQGH73U51A,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,37ZHEEHM6WMOOB6ABSK7TN5S6XY732,A1G0IIAX513SEU,Approved,Fri Feb 26 11:16:52 PST 2016,Fri Feb 26 11:17:53 PST 2016,Sat Feb 27 11:17:53 PST 2016,Fri Feb 26 14:51:52 PST 2016,,,61,100% (31/31),100% (31/31),100% (31/31),"All_I_Want_for_Christmas_Is_You-Remixes,_Extra_Festive,_and_Superfestive_versions","<font color=""blue"">Question</font>: What year was all I want for Christmas released?<br/><font color=""blue"">Sentence(s)</font>: When the song was first released as a single in 1994, no remixes were commissioned.",When was the song all I want for Christmas first released?,,
3EPG8DX9LKQDLCZKVUXGKMYFAJ15PF,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3ZQIG0FLQEGNQZ9U3AYP4YWSQ84WVU,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:33:48 PST 2016,Fri Feb 26 12:35:04 PST 2016,Sat Feb 27 12:35:04 PST 2016,Fri Feb 26 14:51:07 PST 2016,,,76,100% (85/85),100% (85/85),100% (85/85),Prison_Break-Filming,"<font color=""blue"">Question</font>: was the first season of prison break in hollywood?<br/><font color=""blue"">Sentence(s)</font>: The first three seasons of ""Prison Break"" were primarily filmed outside of Hollywood.",Was Prison Break filmed in Hollywood during the first season?,,
3UEBBGULPFOIFE05IS9JG4CR7U6FU3,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3U5NZHP4LR2SOPH9MZ3QX3XNPWPHPT,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:21:21 PST 2016,Fri Feb 26 12:21:43 PST 2016,Sat Feb 27 12:21:43 PST 2016,Fri Feb 26 14:51:52 PST 2016,,,22,100% (85/85),100% (85/85),100% (85/85),Friends-Broadcast,"<font color=""blue"">Question</font>: How much was spent on each episode of the 10th season.<br/><font color=""blue"">Sentence(s)</font>: NBC agreed to pay $10 million to Warner Bros. for the production of each tenth season episode, the highest price in television history for a 30-minute series.",What was the cost of each episode of the tenth season?,,
379OL9DBSSEQVDTXP76G9TWT0KMY9S,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3LOZAJ85YDDTI8GIP5A04CDO2CH2XL,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:21:43 PST 2016,Fri Feb 26 12:22:04 PST 2016,Sat Feb 27 12:22:04 PST 2016,Fri Feb 26 14:51:03 PST 2016,,,21,100% (85/85),100% (85/85),100% (85/85),"The_Big_Bang_Theory-""The_Theorists""_controversy","<font color=""blue"">Question</font>: Lorres alleged the program was plagiarized because of the use of what?<br/><font color=""blue"">Sentence(s)</font>: Through the use of his vanity cards at the end of episodes, Lorre alleged that the program had been plagiarized by a show produced and aired in Belarus.",Why did Lorres say the program was plagiarized?,,
39KV3A5D187PL8TVB4G7DBHMO927SB,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,31HQ4X3T3SARNDGR51MIK0V5TX3LSI,ALSMSDQNVZ6IZ,Approved,Fri Feb 26 11:44:37 PST 2016,Fri Feb 26 11:44:53 PST 2016,Sat Feb 27 11:44:53 PST 2016,Fri Feb 26 14:51:04 PST 2016,,,16,100% (20/20),100% (20/20),100% (20/20),Teen_Wolf-Plot,"<font color=""blue"">Question</font>: how old is scott howard?<br/><font color=""blue"">Sentence(s)</font>: Seventeen-year-old high school student Scott Howard is sick of being average and wishing he were special.",What age is Scott Howard?,,
3MDKGGG61QN7W8S5HUG5H2DCVHWT6N,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3ERET4BTVM9YYS2ABVAQO5D0C9C9KV,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:32:57 PST 2016,Fri Feb 26 12:33:21 PST 2016,Sat Feb 27 12:33:21 PST 2016,Fri Feb 26 14:51:48 PST 2016,,,24,100% (85/85),100% (85/85),100% (85/85),Breaking_Bad-Casting,"<font color=""blue"">Question</font>: ""Breaking Bad"" creator Vince Gilligan cast Bryan Cranston for the role of Walter White based on having worked with him in an episode of what previous television series?<br/><font color=""blue"">Sentence(s)</font>: ""Breaking Bad"" creator Vince Gilligan cast Bryan Cranston for the role of Walter White based on having worked with him in an episode of the science fiction television series ""The X-Files"", on which Gilligan worked as a writer.",In which show did Vince Gilligan and Bryan Cranston work on before Cranston was cast as Walter White?,,
3G57RS03HH5HT5YETWM4O9QMZ9852R,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3483FV8BEEJGZTWMOI1A4Z0458H62U,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:18:32 PST 2016,Fri Feb 26 12:19:09 PST 2016,Sat Feb 27 12:19:09 PST 2016,Fri Feb 26 14:51:07 PST 2016,,,37,100% (85/85),100% (85/85),100% (85/85),The_Vampire_Diaries-Awards_and_accolades,"<font color=""blue"">Question</font>: In which category did the television show ""The Vampire Diaries"" win a Saturn award for?<br/><font color=""blue"">Sentence(s)</font>: It was also nominated for a Saturn Award for Best Network TV Series.",Which Saturn award did The Vampire Diaries win?,,
3R6RZGK0XFCOSK60S8BC1BLQRC5VY5,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3PQMUDRV7R603Y5PFMVROIXQ3V9IIB,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:09:28 PST 2016,Fri Feb 26 12:09:38 PST 2016,Sat Feb 27 12:09:38 PST 2016,Fri Feb 26 14:51:50 PST 2016,,,10,100% (85/85),100% (85/85),100% (85/85),Doctor_Who-Charity_episodes,"<font color=""blue"">Question</font>: What year was ""The Five Doctors"" produced?<br/><font color=""blue"">Sentence(s)</font>: In 1983, coinciding with the series' 20th anniversary, a charity special titled ""The Five Doctors"" was produced in aid of Children in Need, featuring three of the first five Doctors, a new actor to replace the deceased William Hartnell, and unused footage to represent Tom Baker.",When was The Five Doctors produced?,,
34D9ZRXCYRU74ARTI7SRN2JCPH8AS5,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,3018Q3ZVOIQYQFPATLXNLCAYDJORAL,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:30:47 PST 2016,Fri Feb 26 12:31:08 PST 2016,Sat Feb 27 12:31:08 PST 2016,Fri Feb 26 14:51:01 PST 2016,,,21,100% (85/85),100% (85/85),100% (85/85),Parks_and_Recreation-Season_5,"<font color=""blue"">Question</font>: What was Leslie's answer to Ben's proposal?<br/><font color=""blue"">Sentence(s)</font>: Jennifer offers Ben a job on another campaign in Florida, much to Leslie's displeasure, but Ben turns it down and returns to Pawnee, surprising Leslie by proposing to her.</br>She happily says yes.",How did Leslie respond to Ben's suggesstion?,,
3WRBLBQ2GR88DSKKV51H9IOWSK30GL,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,37C0GNLMHF3323U2L7LR0IR82Z3D67,A1G0IIAX513SEU,Approved,Fri Feb 26 11:25:38 PST 2016,Fri Feb 26 11:26:17 PST 2016,Sat Feb 27 11:26:17 PST 2016,Fri Feb 26 14:51:55 PST 2016,,,39,100% (31/31),100% (31/31),100% (31/31),Gossip_Girl-Casting,"<font color=""blue"">Question</font>: Who portrays the character Georgina Sparks?<br/><font color=""blue"">Sentence(s)</font>: Michelle Trachtenberg signed on to portray Georgina Sparks.",What individual plays the part of Georgina Sparks?,,
35F6NGNVM8JQ086A04LXNGD8QSG7T0,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,3LEIZ60CDJZTNN1WBWD0BK1DGIM9ZE,A3F52M330VFQEN,Approved,Fri Feb 26 11:30:11 PST 2016,Fri Feb 26 11:30:34 PST 2016,Sat Feb 27 11:30:34 PST 2016,Fri Feb 26 14:51:01 PST 2016,,,23,100% (6/6),100% (6/6),100% (6/6),Gilmore_Girls-Rory's_friends,"<font color=""blue"">Question</font>: when did doyle date paris?<br/><font color=""blue"">Sentence(s)</font>: He and Paris start dating in Season 5, after Paris's relationship with a much older Professor Asher Fleming (Michael York) ends with Fleming's sudden death.",When did Paris and Doyle date?,,
3PCPFX4U40QQNLTO1JPE63F2490QF9,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,36PW28KO4ZW9HBK57FDNM5BFYUVEAS,ALSMSDQNVZ6IZ,Approved,Fri Feb 26 11:49:42 PST 2016,Fri Feb 26 11:50:30 PST 2016,Sat Feb 27 11:50:30 PST 2016,Fri Feb 26 14:51:49 PST 2016,,,48,100% (20/20),100% (20/20),100% (20/20),The_Good_Wife-Season_4,"<font color=""blue"">Question</font>: Why was the character Cary on The Good Wife angry at the Lockhart & Gardner firm?<br/><font color=""blue"">Sentence(s)</font>: Trying to gain money, the firm offers partnership to some associates, because they need their initial payment.</br>When the debt is cleared, only Alicia is made partner and the other offers are delayed.</br>Feeling angry, Cary teams up with the other four-years to start a new firm.",What conflict arose between Cary of The Good Wife and Lockhart & Gardner?,,
3Z8UJEJOCZDPFAW90MDQJZ0GRJS39S,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,3FPRZHYEPY7QZ176TQNNZ1LVSF7V3K,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:09:06 PST 2016,Fri Feb 26 12:09:27 PST 2016,Sat Feb 27 12:09:27 PST 2016,Fri Feb 26 14:51:56 PST 2016,,,21,100% (85/85),100% (85/85),100% (85/85),Family_Guy-Origins,"<font color=""blue"">Question</font>: What two sitcoms did Seth MacFarlane draw inspiration from for Family Guy?<br/><font color=""blue"">Sentence(s)</font>: MacFarlane drew inspiration from several sitcoms such as ""The Simpsons"" and ""All in the Family"".",What were Seth MacFarlane's inspirations for Family Guy?,,
35YHTYFL1G3ISTP5NIJOCQEAL1FFVS,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,3M0BCWMB8VW8HLBOYT7P3M2LNGOBW3,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:32:35 PST 2016,Fri Feb 26 12:32:57 PST 2016,Sat Feb 27 12:32:57 PST 2016,Fri Feb 26 14:51:02 PST 2016,,,22,100% (85/85),100% (85/85),100% (85/85),South_Park-Abstract,"<font color=""blue"">Question</font>: Who created South Park?<br/><font color=""blue"">Sentence(s)</font>: South Park is an American adult animated sitcom created by Trey Parker and Matt Stone for the Comedy Central television network.",What were the names of the South Park creators?,,
3ZXNP4Z39RL2HVY5RVJ61P3RWFUL7B,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,3ZY8KE4ISJ3I62D8R1ZJC9E627HVQJ,A2PFO43BJ4FR3B,Approved,Fri Feb 26 11:01:31 PST 2016,Fri Feb 26 11:03:24 PST 2016,Sat Feb 27 11:03:24 PST 2016,Fri Feb 26 14:51:56 PST 2016,,,113,100% (7/7),100% (7/7),100% (7/7),Stone_Mountain-Geology,"<font color=""blue"">Question</font>: Stone Mountain at it's longest point continues into which county?<br/><font color=""blue"">Sentence(s)</font>: Stone Mountain pluton continues underground at its longest point into Gwinnett County.","Which county does Stone Mountain lead into, at its longest point?",,
31JUPBOORN46H93O10BCFPZM7Z0L8Y,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,3CFVK00FWLLM0FIUYOJFJVZDB886LJ,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:20:14 PST 2016,Fri Feb 26 12:21:05 PST 2016,Sat Feb 27 12:21:05 PST 2016,Fri Feb 26 14:50:59 PST 2016,,,51,100% (85/85),100% (85/85),100% (85/85),Niagara_Falls-American_side,"<font color=""blue"">Question</font>: What type of building did the Seneca Indian Tribe open in Niagara Falls?<br/><font color=""blue"">Sentence(s)</font>: A casino and luxury hotel was opened in Niagara Falls, New York, by the Seneca Indian tribe.",What kinds of building in Niagara Falls were opened by the Seneca Indian Tribe?,,
36818Z1KV3D3KT6ESSRQFUB0X1A3A7,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:32 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:32 PST 2016,,,39GXDJN2OTEC0YDC57IJQIT681Z8VP,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:01:31 PST 2016,Fri Feb 26 12:01:47 PST 2016,Sat Feb 27 12:01:47 PST 2016,Fri Feb 26 14:51:02 PST 2016,,,16,100% (85/85),100% (85/85),100% (85/85),Leaning_Tower_of_Pisa-Construction,"<font color=""blue"">Question</font>: How many years did it take to to construct the Leaning Tower of Pisa?<br/><font color=""blue"">Sentence(s)</font>: Construction of the tower occurred in three stages across 199 years.",How long did it take to build the Leaning Tower of Pisa?,,
