HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.content,Answer.ParaphraseQuestionBox,Approve,Reject
3PUOXASB573Q0332LT8ZN05V79A9Z5,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,3Q5ZZ9ZEVOFV24YXZG06MKZ7WAI85Y,A1PTH9KTRO06EG,Submitted,Mon Mar 07 10:09:24 PST 2016,Mon Mar 07 10:09:58 PST 2016,Tue Mar 08 10:09:58 PST 2016,,,,34,0% (0/0),0% (0/0),0% (0/0),Nanking_Massacre-Apology_and_condolences_by_the_Prime_Minister_and_Emperor_of_Japan,"<font color=""blue"">Question</font>: What did Iris Chang, the author of ""The Rape of Nanking"", criticize Murayama for not doing?<br/><font color=""blue"">Sentence(s)</font>: Iris Chang, author of ""The Rape of Nanking"", criticized Murayama for not providing the written apology that had been expected.","What did the author of ""The Rape of Nanking"", criticize Murayama for failing to do.",,
34XASH8KLQMBTJKQNTE21O91X99PMY,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,37UQDCYH6XV80K8TV2QDCIXBYEEV75,ABF3ITT2M64ZM,Submitted,Mon Mar 07 10:16:31 PST 2016,Mon Mar 07 10:17:43 PST 2016,Tue Mar 08 10:17:43 PST 2016,,,,72,100% (11/11),100% (11/11),100% (11/11),Track_and_field-Combined_events,"<font color=""blue"">Question</font>: What are the most common combined events?<br/><font color=""blue"">Sentence(s)</font>: Outdoors, the most common combined events are the men's decathlon and the women's heptathlon.",Which of the combined events are most common?,,
3ZTE0JGGCESGZXWYV4799SZZTQACON,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,3Q8GYXHFEP2XE7OAGSGBO6VQM135C1,A1RDMWOI0NA84W,Submitted,Mon Mar 07 10:08:05 PST 2016,Mon Mar 07 10:08:37 PST 2016,Tue Mar 08 10:08:37 PST 2016,,,,32,0% (0/0),0% (0/0),0% (0/0),Balkan_Wars-Young_Turk_revolution,"<font color=""blue"">Question</font>: Who was forced to readopt the Ottoman constitution of 1876?<br/><font color=""blue"">Sentence(s)</font>: When the revolt broke out, it was supported by intellectuals, the army, and almost all the ethnic minorities of the Empire, and forced Sultan Abdul Hamid II to re-adopt the long defunct Ottoman constitution of 1876, ushering in the Second Constitutional Era.",Which person was force to readopt the Ottoman constitution of 1876?,,
3QREJ3J433XQCA5PAP8F5U8D3UEKLR,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3COPXFW7XBCJQFIHSK6NAVDFIACPKJ,A2TJL8RPX552CB,Submitted,Mon Mar 07 10:09:35 PST 2016,Mon Mar 07 10:10:08 PST 2016,Tue Mar 08 10:10:08 PST 2016,,,,33,100% (13/13),100% (13/13),100% (12/12),Lights_(musician)-Personal_life,"<font color=""blue"">Question</font>: When did Lights get engaged?<br/><font color=""blue"">Sentence(s)</font>: On August 30, 2011, Lights became engaged to Bokan.",On what day did Lights become engaged?,,
3QTFNPMJC6IBP57WM3R4510FCYQZNT,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,3R2UR8A0IAG7PF5NC38XBPGR4EXXO1,AZE084MMZVEYT,Submitted,Mon Mar 07 10:20:56 PST 2016,Mon Mar 07 10:21:09 PST 2016,Tue Mar 08 10:21:09 PST 2016,,,,13,0% (0/0),0% (0/0),0% (0/0),Balkan_Wars-First_Balkan_War,"<font color=""blue"">Question</font>: Who helped the Bulgarian forces to conquer Adrianople?<br/><font color=""blue"">Sentence(s)</font>: After a failed Ottoman counter-attack in the Western-Thracian front, Bulgarian forces with the help of the Serbian Army managed to conquer Adrianople while Greek forces managed to take Ioannina after defeating the Ottomans in the battle of Bizani.",Who allied with Bulgaria at Adrianopole?,,
34F34TZU7WZP04DZIYQYPJ9RI5N2JL,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3TXWC2NHNZQWMBFIG4JSFR4AU09S9A,A2XI9YL5UOO2YC,Submitted,Mon Mar 07 10:20:08 PST 2016,Mon Mar 07 10:21:20 PST 2016,Tue Mar 08 10:21:20 PST 2016,,,,72,100% (259/259),100% (259/259),100% (259/259),Track_and_field-Multi-sport_events,"<font color=""blue"">Question</font>: Where are track and field events typically hosted?<br/><font color=""blue"">Sentence(s)</font>: Typically, track and field events are hosted at the main stadium of the games.After the Olympic and Paralympic Games, the most prominent events for track and field athletes include the three IOC-sanctioned continental games: the All-Africa Games, Asian Games, and the Pan American Games.",Where do track and field events typically take place?,,
37ZQELHEQ0YBQY8D7E1AXZ46XU8MNZ,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,3V26SBZTBDE8TEJ9FU7ZO836WIVZZZ,ABQKQQ8BD24BF,Submitted,Mon Mar 07 09:55:41 PST 2016,Mon Mar 07 09:56:16 PST 2016,Tue Mar 08 09:56:16 PST 2016,,,,35,0% (0/0),0% (0/0),0% (0/0),Watergate_scandal-Role_of_the_media,"<font color=""blue"">Question</font>: When did applications to journalism schools peak?<br/><font color=""blue"">Sentence(s)</font>: Applications to journalism schools reached an all-time high in 1974.",Which year did applications to journalism schools peak?,,
3Z3R5YC0P3N3F1LGINJ9B8QPPBJFTN,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,384PI804XS1EQHR5G80ZMG3HRWC0S3,AOPG07J95DDJT,Submitted,Mon Mar 07 09:50:57 PST 2016,Mon Mar 07 09:51:13 PST 2016,Tue Mar 08 09:51:13 PST 2016,,,,16,0% (0/0),0% (0/0),0% (0/0),Glad_You_Came-Background,"<font color=""blue"">Question</font>: The song ""Glad You Came"" premiered on the radio in what year?<br/><font color=""blue"">Sentence(s)</font>: The song premiered on the radio on 24 May 2011.","When did ""Glad You Came""",,
3QGHA0EA0J05U1DU8Q2OF263E78BWQ,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,36AHBNMV1RC5LN48RQGJJ9B126HYD8,A3FQ6I8KOIIP7P,Submitted,Mon Mar 07 10:01:39 PST 2016,Mon Mar 07 10:02:17 PST 2016,Tue Mar 08 10:02:17 PST 2016,,,,38,0% (0/0),0% (0/0),0% (0/0),Watergate_scandal-Release_of_the_tapes,"<font color=""blue"">Question</font>: What did the tapes reveal?<br/><font color=""blue"">Sentence(s)</font>: The tapes revealed several crucial conversations that took place between the President and his counsel, John Dean, on March 21, 1973.",Who were the parties on the tapes and when did the conversations take place?,,
3JVP4ZJHDPSM9JQFLT1KUU1C8SEI05,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3ZPPDN2SLVWVCSA0F9ZNQA0VT9Z9EP,A4T1X0PO5N1G9,Submitted,Mon Mar 07 10:13:55 PST 2016,Mon Mar 07 10:14:51 PST 2016,Tue Mar 08 10:14:51 PST 2016,,,,56,100% (407/407),100% (407/407),100% (381/381),Olympic_weightlifting-Abstract,"<font color=""blue"">Question</font>: Are bodyweight categories similar or different for the genders?<br/><font color=""blue"">Sentence(s)</font>: Bodyweight categories are different for women and men.",How do bodyweight categories differ for men and women?,,
3EHIMLB7F7Z4VDKYAFWENX6FRDAH8X,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3DZQRBDBSLFA79Q2ZVIIOE1OU8X3S2,AYQJO08F8EAB9,Submitted,Mon Mar 07 10:01:01 PST 2016,Mon Mar 07 10:01:18 PST 2016,Tue Mar 08 10:01:18 PST 2016,,,,17,0% (0/0),0% (0/0),0% (0/0),Glad_You_Came-Music_video,"<font color=""blue"">Question</font>: Where was the music video filmed?<br/><font color=""blue"">Sentence(s)</font>: The music video was created by Director X and was filmed in Ibiza, Spain.",What is the location where this video was shot?,,
34D9ZRXCYRU74ARTI7SRN2JCQCRSAX,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,33FBRBDW6OZG1P7CEQNE0Q5HOR5C8B,A4T1X0PO5N1G9,Submitted,Mon Mar 07 10:20:23 PST 2016,Mon Mar 07 10:21:03 PST 2016,Tue Mar 08 10:21:03 PST 2016,,,,40,100% (407/407),100% (407/407),100% (381/381),Battle_of_Moscow-Mozhaisk_defense_line_(13_–_30_October),"<font color=""blue"">Question</font>: What is the best example of civilian fortifications extending the effectiveness of the Russian military?<br/><font color=""blue"">Sentence(s)</font>: According to Zhukov, 250,000 women and teenagers worked building trenches and anti-tank moats around Moscow, moving almost three million cubic meters of earth with no mechanical help.",What shows a good example of civilian fortifications for the Russian military?,,
30OITAWPBQ349I38F72SNT1QBJSH9M,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3EFE17QCRC5P1HX1EG7KS82YDDEHSM,A3JZS32RQUWGJM,Submitted,Mon Mar 07 09:59:59 PST 2016,Mon Mar 07 10:00:15 PST 2016,Tue Mar 08 10:00:15 PST 2016,,,,16,0% (0/0),0% (0/0),0% (0/0),Stronger_(What_Doesn't_Kill_You)-Abstract,"<font color=""blue"">Question</font>: Who sings Stronger?<br/><font color=""blue"">Sentence(s)</font>: Stronger (What Doesn't Kill You)""Stronger (What Doesn't Kill You)"" is a song by American recording artist Kelly Clarkson and the titular song from her fifth studio album, ""Stronger"" (2011).","Which musical artists sings ""Stronger?""",,
3TX9T2ZCB911CZGAE4IR1KD65AUZWK,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3XIQGXAUMC8049DOVHRV03UWEPNX7B,A1VMLIEXDEIX9Q,Submitted,Mon Mar 07 10:19:51 PST 2016,Mon Mar 07 10:20:48 PST 2016,Tue Mar 08 10:20:48 PST 2016,,,,57,0% (0/0),0% (0/0),0% (0/0),Water_polo-Advancing_the_ball,"<font color=""blue"">Question</font>: The ball gets turned over to the defense if the attacker goes where without the ball?<br/><font color=""blue"">Sentence(s)</font>: If an attacker advances inside the 2-meter line without the ball or before the ball is inside the 2-meter area, (s)he is ruled offside and the ball is turned over to the defence.",Where can the attacker go with the ball that would result in it being turned over to the defense?,,
3FHTJGYT8N0B19O4CQG7OJP41NXPGQ,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,336YQZE83VEANT01THAPR202GF7M50,A4T1X0PO5N1G9,Submitted,Mon Mar 07 10:12:19 PST 2016,Mon Mar 07 10:12:39 PST 2016,Tue Mar 08 10:12:39 PST 2016,,,,20,100% (407/407),100% (407/407),100% (381/381),Battle_of_Moscow-Casualties,"<font color=""blue"">Question</font>: What was the estimated total of casualties?<br/><font color=""blue"">Sentence(s)</font>: Therefore, total casualties between 30 September 1941, and 7 January 1942, are estimated to be between 174,000 and 248,000 for the ""Wehrmacht"" (Wehrmacht reports / Moscow encyclopedia estimate) and between 650,000 and 1,280,000 for the Red Army (Erickson / Moscow encyclopedia estimate).Regardless of these disagreements, the Battle of Moscow is considered among the most lethal battles in world history.",How many people were killed?,,
3UEBBGULPFOIFE05IS9JG4CR8PQFUE,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3R2UR8A0IAG7PF5NC38XBPGR4EWOXR,A1RDMWOI0NA84W,Submitted,Mon Mar 07 10:14:11 PST 2016,Mon Mar 07 10:15:16 PST 2016,Tue Mar 08 10:15:16 PST 2016,,,,65,0% (0/0),0% (0/0),0% (0/0),Water_polo-Setting_the_ball,"<font color=""blue"">Question</font>: How long is typical for a reasonable amount of time to re-commence play after a foul?<br/><font color=""blue"">Sentence(s)</font>: The referee indicates the foul with one short whistle blow and points one hand to the spot of the foul and the other hand in the direction of the attack of the team to whom the free throw has been awarded.</br>The hole set then has a ""reasonable amount of time"" (typically about three seconds) to re-commence play by making a free pass to one of the other players.",How much time should expected after a foul before the continuation of play?,,
3QQUBC64ZEEMKA7HLL3J8GK44YSXNU,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3MYYFCXHJ37SZ00F49TK95ARKX04G5,A2F1JTU06CO6VD,Submitted,Mon Mar 07 10:13:50 PST 2016,Mon Mar 07 10:14:30 PST 2016,Tue Mar 08 10:14:30 PST 2016,,,,40,0% (0/0),0% (0/0),0% (0/0),Stronger_(What_Doesn't_Kill_You)-Critical_response,"<font color=""blue"">Question</font>: How did critics respond to Stronger?<br/><font color=""blue"">Sentence(s)</font>: ""Stronger"" received critical acclaim from contemporary critics, with many complimenting its sound and Clarkson's vocal performance.","Was Clarkson's ""stronger"" received well by the critics?",,
3Y3N5A7N4G952XCREGALEF2D1ECMYP,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3GNCZX450INDE29VGTTYGHAJDYIAPP,A4T1X0PO5N1G9,Submitted,Mon Mar 07 09:57:46 PST 2016,Mon Mar 07 09:58:04 PST 2016,Tue Mar 08 09:58:04 PST 2016,,,,18,100% (407/407),100% (407/407),100% (381/381),Rugby_union-History,"<font color=""blue"">Question</font>: When did rugby originate?<br/><font color=""blue"">Sentence(s)</font>: The origin of rugby football is reputed to be an incident during a game of English school football at Rugby School in 1823 when William Webb Ellis is said to have picked up the ball and run with it.",When was rugby invented?,,
3IVKZBIBJ09MEXZ7OD2J4O6G37IHSY,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:15 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:15 PDT 2016,,,3YZ8UPK3VTMEZMEPHTOJWIN6LITCUN,A330N7LVL2IOVZ,Submitted,Mon Mar 07 09:52:49 PST 2016,Mon Mar 07 09:53:39 PST 2016,Tue Mar 08 09:53:39 PST 2016,,,,50,100% (27/27),100% (27/27),100% (27/27),Astronomy-Infrared_astronomy,"<font color=""blue"">Question</font>: What is the infrared system used to study?<br/><font color=""blue"">Sentence(s)</font>: The infrared spectrum is useful for studying objects that are too cold to radiate visible light, such as planets, circumstellar disks or nebulae whose light is blocked by dust.",What is studied using the infrared system?,,
