paragraph_id,candidates,content
Las_Vegas_Strip-Boundaries,2,"Category: Travel<br/>Title: Las Vegas Strip<br/>Section: Boundaries<br/><br/>1. Historically, the casinos that were not in Downtown Las Vegas along Fremont Street were restricted to outside of the city limits on Las Vegas Boulevard.<br/>2. <strike>In 1959 the Welcome to Fabulous Las Vegas sign was constructed exactly outside of the city limits.</strike><br/>3. The sign is today about south of the southernmost entrance to Mandalay Bay (the southernmost casino).In the strictest sense, ""the Strip"" refers only to the stretch of Las Vegas Boulevard that is roughly between Sahara Avenue and Russell Road, a distance of .<br/>4. However, the term is often used to refer not only to the road but also to the various casinos and resorts that line the road, and even to properties which are not on the road but in proximity.<br/>5. Phrases such as ""Strip Area"", ""Resort Corridor"" or ""Resort District"" are sometimes used to indicate a larger geographical area, including properties or more away from Las Vegas Boulevard, such as the Hard Rock Hotel & Casino.The traditional definition considers the Strip's northern terminus as the now-defunct Sahara Casino, though travel guides typically extend it to include the Stratosphere, to the north.<br/>6. At one time, the southern end of the Strip was Tropicana Avenue, but continuing construction has extended this boundary to Russell Road.<br/>7. Mandalay Bay is located just north of Russell Road and is the southernmost resort considered to be on the Strip.Because of the number and size of the resorts, the Resort Corridor can be quite wide.<br/>8. Interstate 15 runs roughly parallel and to the west of Las Vegas Boulevard for the entire length of the Strip.<br/>9. Paradise Road runs to the east in a similar fashion, and ends at St. Louis Avenue.<br/>10. The eastern side of the Strip is bounded by McCarran International Airport south of Tropicana Avenue.<br/>11. North of this point, the Resort Corridor can be considered to extend as far east as Paradise Road, although some consider Koval Lane as a less inclusive boundary.<br/>12. Interstate 15 is sometimes considered the western edge of the Resort Corridor from Interstate 215 to Spring Mountain Road.<br/>13. North of this point, Industrial Road serves as the western edge.The famous Welcome to Fabulous Las Vegas sign is located in the median just south of Russell Road, across from the now-demolished Klondike Hotel & Casino; another similar sign is in the median at the north end of the Strip near the intersection of East St. Louis and South Main Streets.Newer resorts such as South Point and the M Resort are on Las Vegas Boulevard South as distant as 8 miles south of the Welcome to Las Vegas sign.<br/>14. Marketing for these casinos usually states that they are on southern Las Vegas Boulevard and not ""Strip"" properties.<br/>"
Las_Vegas_Strip-Free_shuttles,"11, 12","Category: Travel<br/>Title: Las Vegas Strip<br/>Section: Free shuttles<br/><br/>1. Some of the shuttles have a policy requiring a room key from an affiliated casino.<br/>2. Enforcement of these policies may vary.<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp; Between Harrah's and the Rio.<br/>4. Approximately every 30 minutes.<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp; Between Sam's Town and Bill's Gamblin' Hall, Harrah's, Riviera, and Tropicana.<br/>6. Approximately every hour and a half.<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp; Between Paris/Bally's and the Rio.<br/>8. Approximately every 30 minutes.<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp; Between Hard Rock and the Fashion Show Mall.<br/>10. Leaves the Hard Rock every 60 minutes on the hour.<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> Between Trump International Hotel and The Forum Shops at Caesars Palace.</strike><br/>12. <strike>Leaves the Trump Las Vegas every 15 minutes.</strike><br/>13. •&nbsp;&nbsp;&nbsp;&nbsp; Between Trump International Hotel and the Wynn.<br/>14. <strike>Leaves the Trump Las Vegas every 15 minutes.</strike><br/>"
"Union_Station_(Washington,_D.C.)-Opening_and_operation",4,"Category: Travel<br/>Title: Union Station (Washington, D.C.)<br/>Section: Opening and operation<br/><br/>1. When the Pennsylvania Railroad and the Baltimore and Ohio Railroad announced in 1901 that they planned to build a new union terminal, the city had two reasons to celebrate.<br/>2. The decision meant that both railroads would soon remove their trackwork and terminals from the National Mall.<br/>3. Though changes there appeared only gradually, the consolidation of the depots allowed the creation of the Mall as it appears today.<br/>4. <strike>Secondly, the plan to bring all the city's railroads under one roof promised that Washington would finally have a station both large enough to handle large crowds and impressive enough to befit the city's role as the federal capital.Union Station opened on October 27, 1907, with the arrival of a Baltimore and Ohio Railroad passenger train from Pittsburgh.</strike><br/>5. The terminal quickly became the portal to the Capitol.<br/>6. At no time was it busier than during World War II, when as many as 200,000 people passed through in a single day.For most of its existence, Union Station served as a hub, with service of the Baltimore and Ohio Railroad, Pennsylvania Railroad, and Southern Railway.<br/>7. The Richmond, Fredericksburg & Potomac Railroad provided a link to Richmond, Virginia, about to the south, where major north-south lines of the Atlantic Coast Line Railroad and Seaboard Air Line Railroad provided service to the Carolinas, Georgia, and Florida.<br/>"
"Union_Station_(Washington,_D.C.)-Restoration",6,"Category: Travel<br/>Title: Union Station (Washington, D.C.)<br/>Section: Restoration<br/><br/>1. As a result of the Redevelopment Act of 1981, Union Station was closed for restoration and refurbishing.<br/>2. Mold was growing in the leaking ceiling of the Main Hall, and the carpet laid out for an Inauguration Day celebration was full of cigarette-burned holes.<br/>3. In 1988, Secretary of Transportation Elizabeth Dole awarded $70 million to the restoration effort.<br/>4. ""The Pit"" was transformed into a new basement level, and the Main Hall floor was refitted with marble.<br/>5. While installing new HVAC systems, crews discovered antique items in shafts that had not been opened since the building's creation.The station reopened in its present form on September 29, 1988.<br/>6. <strike>The former “Pit” area was replaced with an AMC movie theater (later Phoenix Theatres), closed October 12, 2009, to be replaced with additional restaurants and a large food court in the former baggage-mail level.</strike><br/>7. The food court still retains the original arches under which the trains were parked as well as the track numbers on those arches.<br/>8. A variety of shops opened along the Concourse and Main Hall, and a new Amtrak terminal at the back behind the original Concourse.<br/>9. Trains no longer enter the original Concourse but the original, decorative gates were relocated to the new passenger concourse.<br/>10. In 1994, this new passenger concourse was renamed to honor W. Graham Claytor, Jr., who served as Amtrak's president from 1982 to 1993.<br/>11. The decorative elements of the station were also restored.<br/>12. The skylights were preserved but sunlight no longer illuminates the Concourse because it is blocked by the newer roof structure built directly overhead to support the aging, original structure.<br/>"
Central_Park-1857–1900,8,"Category: Travel<br/>Title: Central Park<br/>Section: 1857–1900<br/><br/>1. History.1857–1900.Central Park was not a part of the Commissioners' Plan of 1811; however, between 1821 and 1855, New York City nearly quadrupled in population.<br/>2. Since it was not part of the Commissioners' Plan of 1811, John Randel, Jr., surveyed the park and the only remaining surveying bolt from his survey is still visible.<br/>3. The bolt is in a rock just north of the Dairy and the 65th Street Transverse and south of Center Drive.<br/>4. As the city expanded, people were drawn to the few existing open spaces, mainly cemeteries, to get away from the noise and chaotic life in the city.New York City's need for a great public park was voiced by the poet and editor of the ""Evening Post"" (now the ""New York Post""), William Cullen Bryant, and by the first American landscape architect, Andrew Jackson Downing, who began to publicize the city's need for a public park in 1844.<br/>5. A stylish place for open-air driving, similar to the Bois de Boulogne in Paris or London's Hyde Park, was felt to be needed by many influential New Yorkers, and, after an abortive attempt in 1850-51 to designate Jones's Wood, in 1853 the New York legislature settled upon a area from 59th to 106th Streets for the creation of the park, at a cost of more than US$5 million for the land alone.The state appointed a Central Park Commission to oversee the development of the park, and in 1857 the commission held a landscape design contest.<br/>6. Frederick Law Olmsted and Calvert Vaux developed what came to be known as the ""Greensward Plan"", which was selected as the winning design.According to Olmsted, the park was """"of great importance as the first real Park made in this country—a democratic development of the highest significance…,"""" a view probably inspired by his stay and various trips in Europe during 1850.He visited several parks during these trips and was particularly impressed by Birkenhead Park and Derby Arboretum in England.Several influences came together in the design.<br/>7. Landscaped cemeteries, such as Mount Auburn (Cambridge, Massachusetts) and Green-Wood (Brooklyn, New York) had set examples of idyllic, naturalistic landscapes.<br/>8. <strike>The most influential innovations in the Central Park design were the ""separate circulation"" systems for pedestrians, horseback riders, and pleasure vehicles.</strike><br/>9. The ""crosstown"" commercial traffic was entirely concealed in sunken roadways, (today called ""transverses""), screened with densely planted shrub belts so as to maintain a rustic ambiance.The Greensward plan called for some 36 bridges, all designed by Vaux, ranging from rugged spans of Manhattan schist or granite, to lacy neo-gothic cast iron; no two are alike.<br/>10. The ensemble of the formal line of the Mall's doubled allées of elms culminating at Bethesda Terrace, whose centerpiece is the Bethesda Fountain, with a composed view beyond of lake and woodland, was at the heart of the larger design.Execution of the ""Greensward Plan"" was the responsibility of a number of individuals, including Jacob Wrey Mould (architect), Ignaz Anton Pilat (master gardener), George Waring (engineer), and Andrew Haswell Green (politician), in addition to Olmsted and Vaux.Before the construction of the park could start, the area had to be cleared of its inhabitants,most of whom were quite poor and either free African Americans or residents of English or Irish origin.<br/>11. Most of them lived in small villages, such as Seneca Village, Harsenville, or the Piggery District; or in the school and convent at Mount St. Vincent's Academy.<br/>12. Around 1,600 residents occupying the area at the time, were evicted under the rule of eminent domain during 1857.<br/>13. Seneca Village and parts of the other communities were razed to make room for the park.During the construction of the park, Olmsted fought constant battles with the park commissioners, many of whom were appointees of the city's Democratic machine.<br/>14. In 1860, he was forced out for the first of many times as Central Park's superintendent, and Andrew Haswell Green, the former president of New York City's board of education took over as the chairman of the commission.<br/>15. Despite the fact that he had relatively little experience, he still managed to accelerate the construction, as well as to finalize the negotiations for the purchase of an additional at the north end of the park, between 106th and 110th Streets, which would be used as the ""rugged"" part of the park, its swampy northeast corner dredged, and reconstructed as the Harlem Meer.Between 1860 and 1873, most of the major hurdles to construction were overcome, and the park was substantially completed.<br/>16. Construction combined the modern with the ageless: up-to-date steam-powered equipment and custom-designed wheeled tree moving machines augmented massive numbers of unskilled laborers wielding shovels.<br/>17. The work was extensively documented with technical drawings and photographs.<br/>18. During this period, more than 18,500 cubic yards (14,000 m³) of topsoil had been transported in from New Jersey, because the original soil was not fertile or substantial enough to sustain the various trees, shrubs, and plants called for by the Greensward Plan.<br/>19. When the park was officially completed in 1873, more than ten million cartloads of material had been transported out of the park, including soil and rocks.<br/>20. More than four million trees, shrubs and plants representing approximately 1,500 species were transplanted to the park.More gunpowder was used to clear the area than was used at the battle of Gettysburg during the American Civil War.Sheep grazed on the Sheep Meadow from the 1860s until 1934, when they were moved to Prospect Park in Brooklyn,and were soon moved to a farm near Otisville, New York as it was feared they would be used for food by impoverished Depression-era New Yorkers.<br/>21. [htt<br/>"
Central_Park-1900–1960,2,"Category: Travel<br/>Title: Central Park<br/>Section: 1900–1960<br/><br/>1. Following completion, the park quickly slipped into decline.<br/>2. <strike>One of the main reasons for this was the lack of interest of the Tammany Hall political machine, which was the largest political force in New York at the time.Around the turn of the 20th century, the park faced several new challenges.</strike><br/>3. Cars were becoming commonplace, bringing with them their burden of pollution, and people's attitudes were beginning to change.<br/>4. No longer were parks to be used only for walks and picnics in an idyllic environment, but now also for sports, and similar recreation.<br/>5. Following the dissolution of the Central Park Commission in 1870 and Andrew Green's departure from the project, and the death of Vaux in 1895, the maintenance effort gradually declined, and there were few, if any, attempts to replace dead trees, bushes and plants, or worn-out lawn.<br/>6. For several decades, authorities did little or nothing to prevent vandalism and the littering of the park.All of this changed in 1934, when Republican Fiorello La Guardia was elected mayor of New York City and unified the five park-related departments then in existence.<br/>7. Robert Moses was given the task of cleaning up the park.<br/>8. Moses, about to become one of the mightiest men in New York City, took over what was essentially a relic, a leftover from a bygone era.According to historian Robert Caro in his 1974 book ""The Power Broker"":<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp;""Lawns, unseeded, were expanses of bare earth, decorated with scraggly patches of grass and weeds, that became dust holes in dry weather and mud holes in wet….<br/>10. The once beautiful Mall looked like a scene of a wild party the morning after.<br/>11. Benches lay on their backs, their legs jabbing at the sky...""<br/><br/>12. In a single year, Moses managed to clean up Central Park and other parks in New York City.</br>13. Lawns and flowers were replanted, dead trees and bushes were replaced, walls were sandblasted, and bridges repaired.<br/>14. Another dramatic change was Moses's removal of the ""Hoover Valley"" shantytown, whose site was transformed into the Great Lawn.Major redesigning and construction also was carried out: for instance, the Croton Lower Reservoir was filled in so the Great Lawn could be created.<br/>15. The Greensward Plan's purpose of creating an idyllic landscape was combined with Moses' vision of a park to be used for recreational purposes—19 playgrounds, 12 ball fields, and handball courts were constructed.<br/>16. Moses also managed to secure funds from the New Deal program, as well as donations from the public.<br/>"
Grand_Central_Terminal-Grand_Central_Terminal,7,"Category: Travel<br/>Title: Grand Central Terminal<br/>Section: Grand Central Terminal<br/><br/>1. .Between 1903 and 1913, the entire building was torn down in phases and replaced by the current Grand Central Terminal, which was designed by the architectural firms of Reed and Stem and Warren and Wetmore, who entered an agreement to act as the associated architects of Grand Central Terminal in February 1904.<br/>2. Reed & Stem were responsible for the overall design of the station, Warren and Wetmore added architectural details and the Beaux-Arts style.<br/>3. Charles Reed was appointed the chief executive for the collaboration between the two firms, and promptly appointed Alfred T. Fellheimer as head of the combined design team.<br/>4. This work was accompanied by the ""electrification"" of the three railroads using the station and the burial of the approach in the Park Avenue tunnel.<br/>5. The result of this was the creation of several blocks worth of prime real estate in Manhattan, which were then sold for a large sum of money.<br/>6. In addition, the terminal itself contains support structures for a possible future tower to be built above it.<br/>7. <strike>The new terminal opened on February 2, 1913.The terminal is made primarily from granite.</strike><br/>8. In fact, so much granite is used, the building emits relatively high levels of radiation on a regular basis.<br/>"
Grand_Central_Terminal-Terminal_City,9,"Category: Travel<br/>Title: Grand Central Terminal<br/>Section: Terminal City<br/><br/>1. The construction of Grand Central created a mini-city within New York, including the Commodore Hotel and various office buildings.<br/>2. It spurred construction throughout the neighborhood in the 1920s including the Chrysler Building.In 1928, the New York Central built its headquarters in a 34-story building (now called the Helmsley Building) straddling Park Avenue on the north side of the Terminal.There is a ""secret"" platform, number 61, under the station.<br/>3. This was once used to convey President Franklin D. Roosevelt directly into the Waldorf-Astoria Hotel.<br/>4. This platform was part of the original design of the Waldorf Astoria.<br/>5. It was mentioned in ""The New York Times"" in 1929 but was first used by General Pershing in 1938.From 1939 to 1964 CBS Television occupied a large portion of the terminal building, particularly above the main waiting room.<br/>6. The space contained two production studios (41 and 42), two ""program control"" facilities (43 and 44), network master control, and facilities for local station WCBS-TV.<br/>7. In 1958, the first major videotape operations facility in the world opened in a former rehearsal room on the seventh floor of the main terminal building.<br/>8. The facility used fourteen Ampex VR-1000 videotape recorders.<br/>9. <strike>The ""CBS Evening News"" began its broadcasts there with Douglas Edwards.</strike><br/>10. Many historic news events were broadcast from this location, such as John Glenn's Mercury-Atlas 6 space mission and Walter Cronkite's coverage of the assassination of John F. Kennedy.<br/>11. Edward R. Murrow's ""See It Now"" originated from Grand Central, including his famous broadcasts on Senator Joseph McCarthy.<br/>12. The Murrow broadcasts were recreated in George Clooney's movie ""Good Night, and Good Luck"", although the CBS News and corporate offices were not actually in the same building as the film implies.<br/>13. The long-running panel show ""What's My Line?""<br/>14. was first broadcast from the GCT studios, as were ""The Goldbergs"" and ""Mama"".<br/>15. The facility's operations were later moved to the CBS Broadcast Center.<br/>16. In 1966, the former studio space was converted to a sports club with two tennis courts and was operated by Donald Trump from 1984 to 2009.<br/>17. The space is currently occupied by a conductor lounge and a smaller sports facility with a single tennis court.<br/>"
"Magic_Kingdom-Main_Street,_U.S.A.",16,"Category: Travel<br/>Title: Magic Kingdom<br/>Section: Main Street, U.S.A.<br/><br/>1. Symbolically, Main Street, U.S.A. represents the park's ""opening credits,"" where guests pass under the train station (the opening curtain,) then view the names of key personnel along the windows of the buildings' upper floors.<br/>2. Many windows bear the name of a fictional business, such as ""Seven Summits Expeditions, Frank G. Wells President"", with each representing a tribute to significant people connected to the Disney company and the development of the Walt Disney World Resort.<br/>3. It features stylistic influences from around the country.<br/>4. Taking its inspiration from New England to Missouri, this design is most noticeable in the four corners in the middle of Main Street, where each of the four corner buildings represents a different architectural style.<br/>5. There is no opera house as there is at Disneyland; instead, there is the Town Square Theater.<br/>6. Also, this is where Christopher George Weaver, the ""mayor"" of Main Street U.S.A., and one of the park's most important figures, resides.Main Street is lined with shops selling merchandise and food.<br/>7. The decor is early-20th century small-town America, inspired by Walt Disney's childhood and the film ""Lady and the Tramp"".<br/>8. City Hall contains the Guest Relations lobby, where cast members provide information and assistance.<br/>9. A working barber shop gives haircuts for a fee.<br/>10. The Emporium carries a wide variety of Disney souvenirs such as plush toys, collectible pins and Mickey-ear hats.<br/>11. Tony’s Town Square Restaurant and The Plaza Restaurant are table-service locations.<br/>12. At the end of Main Street is Casey's Corner, where guests enjoy traditional American ballpark fare including hot dogs and fries while watching old cartoons on the bleachers.<br/>13. The Main Street Confectionary sells sweets priced by their weight, such as candied apples, crisped rice treats, chocolates, cookies and fudge.<br/>14. Most windows bear the name of people who were influential at Disney parks.<br/>15. An example of a classic Main Street, U.S.A. attraction is the narrow gauge Walt Disney World Railroad, which transports guest throughout the park, making stops at Main Street, U.S.A., Fantasyland, and Frontierland.<br/>16. <strike>The railroad's previous stop at Mickey's Toontown Fair was replaced by the Fantasyland stop in 2012.</strike><br/>17. Main Street, U.S.A. also has the Main Street Vehicles attraction, which includes a narrow gauge tramway with horse-drawn streetcars, and several old-fashioned motor vehicles.In the distance beyond the end of Main Street stands Cinderella Castle.<br/>18. Though only 189 feet (55m) tall, it benefits from a technique known as forced perspective.<br/>19. The second stories of all the buildings along Main Street are shorter than the first stories, and the third stories are even shorter than the second, and the top windows of the castle are much smaller than they appear.<br/>20. The resulting visual effect is that the buildings appear to be larger and taller than they really are.The park contains two additional tributes: the ""Partners"" statue of Walt Disney and Mickey Mouse in front of Cinderella Castle and the ""Sharing the Magic"" statue of Roy O. Disney sitting with Minnie Mouse in the Town Square section of Main Street, U.S.A.<br/>21. Both were sculpted by veteran Imagineer Blaine Gibson.<br/>22. In 2012, Disney replaced the shop in the Firehouse with a sign up for the Sorcerers of the Magic Kingdom game.<br/>"
Magic_Kingdom-Planned_film,6,"Category: Travel<br/>Title: Magic Kingdom<br/>Section: Planned film<br/><br/>1. In 2010, director Jon Favreau and Walt Disney Pictures had a plan to produce and release a film concerning a family at Disneyland which finds the theme park characters and attractions coming to life.<br/>2. Favreau, who said ""the Disney iconography was probably the first set of archetypes that I was exposed to"" and that Disney movies and attractions ""made a deep impression on me as a child"", noted that, ""When I first heard about the ['Magic Kingdom' film] project, I was on my way to visit Disneyland with my family.<br/>3. I took notes and had no problem filling a book with all the ideas that this concept offered, even on first blush.<br/>4. ""Marc Abraham and Eric Newman of Strike Entertainment were scheduled to produce the film.<br/>5. Writer-producer Ronald D. Moore had previously written an original script for the project, which the studio eventually declined to use, stating that Favreau and a new screenwriter would develop a new script.<br/>6. <strike>On June 20, 2011, novelist Michael Chabon signed on to write the film's script.</strike><br/>"
Forbidden_City-Walls_and_gates,9,"Category: Travel<br/>Title: Forbidden City<br/>Section: Walls and gates<br/><br/>1. The Forbidden City is surrounded by a high city wall and a deep by wide moat.<br/>2. The walls are wide at the base, tapering to at the top.<br/>3. These walls served as both defensive walls and retaining walls for the palace.<br/>4. They were constructed with a rammed earth core, and surfaced with three layers of specially baked bricks on both sides, with the interstices filled with mortar.At the four corners of the wall sit towers (E) with intricate roofs boasting 72 ridges, reproducing the Pavilion of Prince Teng and the Yellow Crane Pavilion as they appeared in Song dynasty paintings.<br/>5. These towers are the most visible parts of the palace to commoners outside the walls, and much folklore is attached to them.<br/>6. According to one legend, artisans could not put a corner tower back together after it was dismantled for renovations in the early Qing dynasty, and it was only rebuilt after the intervention of carpenter-immortal Lu Ban.The wall is pierced by a gate on each side.<br/>7. At the southern end is the main Meridian Gate (A).<br/>8. To the north is the Gate of Divine Might (B), which faces Jingshan Park.<br/>9. <strike>The east and west gates are called the ""East Glorious Gate"" (D) and ""West Glorious Gate"" (C).</strike><br/>10. All gates in the Forbidden City are decorated with a nine-by-nine array of golden door nails, except for the East Glorious Gate, which has only eight rows.The Meridian Gate has two protruding wings forming three sides of a square (Wumen, or Meridian Gate, Square) before it.<br/>11. The gate has five gateways.<br/>12. The central gateway is part of the Imperial Way, a stone flagged path that forms the central axis of the Forbidden City and the ancient city of Beijing itself, and leads all the way from the Gate of China in the south to Jingshan in the north.<br/>13. Only the Emperor may walk or ride on the Imperial Way, except for the Empress on the occasion of her wedding, and successful students after the Imperial Examination.<br/>"
Forbidden_City-Influence,7,"Category: Travel<br/>Title: Forbidden City<br/>Section: Influence<br/><br/>1. The Forbidden City, the culmination of the two-thousand-year development of classical Chinese and East Asian architecture, has been influential in the subsequent development of Chinese architecture, as well as providing inspiration for many artistic works.<br/>2. Some specific examples include:<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;Depiction in art, film, literature and popular culture<br/><br/>4. The Forbidden City has served as the scene to many works of fiction.</br>5. In recent years, it has been depicted in films and television series.<br/>6. Some notable examples include:<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""The Forbidden City"" (1918), a fiction film about a Chinese emperor and an American.</strike><br/>8. •&nbsp;&nbsp;&nbsp;&nbsp; ""The Last Emperor"" (1987), a biographical film about Puyi, was the first feature film ever authorised by the government of the People's Republic of China to be filmed in the Forbidden City.<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp; ""Marco Polo"" a joint NBC and RAI TV miniseries broadcast in the early 1980s, was filmed inside the Forbidden City.<br/>10. Note, however, that the present Forbidden City did not exist in the Yuan dynasty, when Marco Polo met Kublai Khan.<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp;Performance venue<br/><br/>12. The Forbidden City has also served as a performance venue.</br>13. However, its use for this purpose is strictly limited, due to the heavy impact of equipment and performance on the ancient structures.<br/>14. Almost all performances said to be ""in the Forbidden City"" are held outside the palace walls.<br/>15. •&nbsp;&nbsp;&nbsp;&nbsp; Giacomo Puccini's opera, ""Turandot"", the story of a Chinese princess, was performed at the Imperial Shrine just outside the Forbidden City for the first time in 1998.<br/>16. •&nbsp;&nbsp;&nbsp;&nbsp; In 1997, Greek-born composer and keyboardist Yanni performed a live concert in front of the Forbidden City.<br/>17. The concert was recorded and later released as part of the ""Tribute"" album.<br/>18. •&nbsp;&nbsp;&nbsp;&nbsp; In 2001, the Three Tenors, Spanish singers Plácido Domingo and José Carreras and the Italian singer Luciano Pavarotti sang in front of Forbidden City main gate as one of their performances.<br/>19. •&nbsp;&nbsp;&nbsp;&nbsp; In 2004, the French musician Jean Michel Jarre performed a live concert in front of the Forbidden City, accompanied by 260 musicians, as part of the ""Year of France in China"" festivities.<br/>"
"Grand_Bazaar,_Istanbul-Architecture",3,"Category: Travel<br/>Title: Grand Bazaar, Istanbul<br/>Section: Architecture<br/><br/>1. The Iç Bedesten has a rectangular plan (43.30 m x 29.50 m).<br/>2. Two rows of stone piers, four in each row, sustain three rows of bays, five in each row.<br/>3. <strike>Each bay is surmounted by a brick dome with blind drum.</strike><br/>4. In the inner and in the outer walls have been built 44 cellars (), vaulted rooms without external openings.<br/>5. The sunlight in Bedesten comes from rectangular windows placed right under the roof: they can be accessed through a wooden ambulatory.<br/>6. Due to the scarce illumination, the edifice was kept open only some hours each day, and was devoted to the trade of luxury goods, above all textiles.<br/>7. Moreover, the Bedesten's Mahzen were also used as safes.<br/>8. The building can be accessed through four gates: <br/>9. •&nbsp;&nbsp;&nbsp;&nbsp; “Second-hand Book Sellers’ Gate” () in the north, <br/>10. •&nbsp;&nbsp;&nbsp;&nbsp; “Skullcap Sellers’ Gate” () in the south,<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp; “Jewellers’ Gate” () in the east, and;<br/>12. •&nbsp;&nbsp;&nbsp;&nbsp; “Women’s Clothiers’ Gate” () in the west.<br/><br/>13. The Sandal Bedesten has also a rectangular plan (40.20 m × 42.20 m), with 12 stone piers bearing 20 bays surmounted by brick domes with blind drum.</br>14. In this case shops are carved only in the outer walls.<br/>15. In both edifices, each bay is tied to the others through brick arches tied by juniper beams, and masonry is made with rubble.<br/>16. Both buildings were closed by Iron gates.Aside the Bedesten, originally the Grand Bazaar structures were built with wood, and only after the 1700 fire, they were rebuilt in stone and brickwork, and covered.<br/>17. All the bazaar edifices, except the fur dealers market (), a later addition which is two-story, are one story.<br/>18. The roofs are mainly covered with tiles, while the part burnt in 1954 uses now tarmac.<br/>19. In the bazaar no artificial light was foreseen, also to prevent fires, and smoking was strictly prohibited.<br/>20. The roads outside the inner Bedesten are roughly parallel to it.<br/>21. Anyway, the damages caused by the many fires and quakes along the centuries, together with the repairs done without a general plan, gave to the market - especially in its western part - a picturesque appearance, with its maze of roads and lanes crossing each other at various angles.<br/>"
"Grand_Bazaar,_Istanbul-The_Grand_Bazaar_today",1,"Category: Travel<br/>Title: Grand Bazaar, Istanbul<br/>Section: The Grand Bazaar today<br/><br/>1. <strike>Today the Grand Bazaar is a thriving complex, employing 26,000 people visited by between 250,000 and 400,000 visitors daily, and one of the major landmarks of Istanbul.</strike><br/>2. It must compete with modern shopping malls common in Istanbul, but its beauty and fascination represent a formidable advantage for it.<br/>3. The head of the Grand Bazaar Artisans Association claimed that the complex was in 2011 - the year of its 550th birthday - the most visited monument in the world.<br/>4. A restoration project starting in 2012 should renew its infrastructure, heating and lighting systems.<br/>5. Moreover, the ""han""s inside the Market will be renovated and later additions will be demolished.<br/>6. This project should finally solve the big problems of the market: for example, in the whole Bazaar there is no proper toilet facility.<br/>7. Moreover, the lacks of controls in the past years allowed many dealers to remove columns and skive walls in their shops to gain space: This, together with the substitution of lead (stolen in the last years) with concrete on the market's roof, has created a great hazard when the earthquake expected in Istanbul in the next years will occur.The Grand Bazaar is opened each day except Sundays and bank holidays from 9:00 until 19:00.<br/>"
Tokyo_Disneyland-Future_of_Disneyland_Tokyo,1,"Category: Travel<br/>Title: Tokyo Disneyland<br/>Section: Future of Disneyland Tokyo<br/><br/>1. <strike>Since the park opened in 1983, Disney Tokyo has regularly been the most profitable Disney Resort.</strike><br/>2. By 1994, over 140 million people had entered through the gates of Tokyo Disneyland (the population of Japan is only 127.6 million) and the popularity has only increased.<br/>3. Just two years later, it employed 12,390 people, marking Disneyland Tokyo as the biggest workplace in Japan’s diversionary outings.<br/>4. Though the attendance is similar to that of other Japanese theme parks, the revenue produced by Tokyo Disney is larger than all other national theme parks combined, thus greatly profiting the Japanese economy.<br/>5. Many speculate that Disney Tokyo is such an economic success due to timing and location; the theme park lies in a metropolitan area with a population of 30 million and opened at the height of a booming economy where hard-working citizens desired a fun escape from reality.<br/>6. One of the main goals of Tokyo Japan is to ever improve the park and grow away from the restrictions of American Disney.<br/>7. Recently Japan has been merging their national identity with the Disneyland Park by adding attractions with distinctly Japanese qualities.<br/>8. Cinderella Castle displays the classic Disney character and story plot yet presents the story through the eyes of the Japanese.<br/>9. Meet the World, located in World Bazaar, shows true national identity and pride as it embodies Japanese history; instead of classic Disney characters, Meet the world characters wear the traditional Japanese Kimono.<br/>10. Once nominated by Disney Legends, Masatomo Takahashi, the former president of The Oriental Land Company, states this growth and development as one as their primary goals: “We must not just repeat what we receive from Disney.<br/>11. I am convinced that we must contribute to the cultural exchange between Japan and U.S.A."" <br/>"
Tokyo_Disneyland-Ticket_price,5,"Category: Travel<br/>Title: Tokyo Disneyland<br/>Section: Ticket price<br/><br/>1. The ticket prices vary from one package to another and these can be found at the company's website.Standard one and two day tickets do not allow park hopping to Tokyo DisneySea, must be used on consecutive days and are date specific.<br/>2. Instead users must state upon purchase the dates they wish to visit each park.<br/>3. Three and Four day tickets allow park hopping on the third and fourth days, but again must be used consecutively.<br/>4. Annual passes are available for either a single or both parks, though require a considerable number of visits to achieve a saving over regular day tickets.<br/>5. <strike>A night pass is also available for a discounted price during the night hours only.</strike><br/>"
